cluster_id,cluster_leader,canonical_name,name,frequency,score_to_leader,cluster_size,canonical_frequency,all_variants
403,Oxford Academic,Oxford Academic,Oxford Academic,6,100.0,2,6,"Oxford Academic, Oxford Academic Press"
403,Oxford Academic,Oxford Academic,Oxford Academic Press,1,100.0,2,6,"Oxford Academic, Oxford Academic Press"
404,Acoustical Society of America,Acoustical Society of America,Acoustical Society of America,1,100.0,1,1,Acoustical Society of America
405,Institute of Metallurgy and Ore Benefication,Institute of Metallurgy and Ore Benefication,Institute of Metallurgy and Ore Benefication,1,100.0,1,1,Institute of Metallurgy and Ore Benefication
406,"DPU, Aarhus University","DPU, Aarhus University","DPU, Aarhus University",1,100.0,1,1,"DPU, Aarhus University"
407,Journal for Deradicalization,Journal for Deradicalization,Journal for Deradicalization,2,100.0,1,2,Journal for Deradicalization
408,New Millennium Discoveries,New Millennium Discoveries,New Millennium Discoveries,11,100.0,1,11,New Millennium Discoveries
409,Microbiology Society,American Society for Microbiology,Microbiology Society,9,100.0,2,19,"American Society for Microbiology, Microbiology Society"
409,Microbiology Society,American Society for Microbiology,American Society for Microbiology,19,100.0,2,19,"American Society for Microbiology, Microbiology Society"
410,University of Toronto Libraries - UOTL,University of Toronto Libraries - UOTL,University of Toronto Libraries - UOTL,2,100.0,1,2,University of Toronto Libraries - UOTL
411,Universidad de Chile,Universidad de Chile,Universidad de Almeria,1,80.95238095238095,16,2,"Universidad De Sanbuenaventura, Universidad Nacional de Colombia, Universidad Nacional de la Plata, Universidad Pontificia de Salamanca, Universidad de Alcala, Universidad de Almeria, Universidad de Castilla-La Mancha, Universidad de Chile, Universidad de Costa Rica, Universidad de Guadalajara, Universidad de Malaga, Universidad de Valencia (Spain), Universidad de Valladolid, Universidad de Zaragoza, Universidad de la República, Universidad del Desarrollo"
411,Universidad de Chile,Universidad de Chile,Universidad de Castilla-La Mancha,1,67.9245283018868,16,2,"Universidad De Sanbuenaventura, Universidad Nacional de Colombia, Universidad Nacional de la Plata, Universidad Pontificia de Salamanca, Universidad de Alcala, Universidad de Almeria, Universidad de Castilla-La Mancha, Universidad de Chile, Universidad de Costa Rica, Universidad de Guadalajara, Universidad de Malaga, Universidad de Valencia (Spain), Universidad de Valladolid, Universidad de Zaragoza, Universidad de la República, Universidad del Desarrollo"
