cluster_id,cluster_leader,canonical_name,name,frequency,score_to_leader,cluster_size,canonical_frequency,all_variants
286,University of Birmingham,University of Birmingham,University of Birmingham,3,100.0,1,3,University of Birmingham
287,The British Art Journal in association with the Berger Collection Educational Trust,The British Art Journal in association with the Berger Collection Educational Trust,The British Art Journal in association with the Berger Collection Educational Trust,3,100.0,1,3,The British Art Journal in association with the Berger Collection Educational Trust
288,Westview Press,Westview Press,Westview Press,1,100.0,1,1,Westview Press
289,University of Nottingham,University of Nottingham,University of Nottingham,3,100.0,4,3,"Nottingham Trent University, Nottingham University Press, The University of Nottingham, University of Nottingham"
289,University of Nottingham,University of Nottingham,Nottingham University Press,3,100.0,4,3,"Nottingham Trent University, Nottingham University Press, The University of Nottingham, University of Nottingham"
289,University of Nottingham,University of Nottingham,Nottingham Trent University,1,76.92307692307692,4,3,"Nottingham Trent University, Nottingham University Press, The University of Nottingham, University of Nottingham"
289,University of Nottingham,University of Nottingham,The University of Nottingham,1,100.0,4,3,"Nottingham Trent University, Nottingham University Press, The University of Nottingham, University of Nottingham"
290,USC Annenberg Press,USC Annenberg Press,USC Annenberg Press,1,100.0,1,1,USC Annenberg Press
291,Historians Film Committee,Historians Film Committee,Historians Film Committee,1,100.0,1,1,Historians Film Committee
292,Game Studies,Game Studies,Game Studies,2,100.0,1,2,Game Studies
293,Katholieke Universiteit Leuven,Katholieke Universiteit Leuven,Katholieke Universiteit Leuven,1,100.0,1,1,Katholieke Universiteit Leuven
294,International Association for Music & Medicine,International Association for Music & Medicine,International Association for Music & Medicine,1,100.0,1,1,International Association for Music & Medicine
295,International Association for the Study of Popular Music (IASPM),International Association for the Study of Popular Music (IASPM),International Association for the Study of Popular Music (IASPM),2,100.0,1,2,International Association for the Study of Popular Music (IASPM)
296,CUP,CUP,CUP,2,100.0,1,2,CUP
297,Duke University Press,Duke University Press,Duke University Press,8,100.0,1,8,Duke University Press
298,"OberCom, CIES-IUL","OberCom, CIES-IUL","OberCom, CIES-IUL",1,100.0,1,1,"OberCom, CIES-IUL"
299,"SISSA, Scuola Internazionale Superiore di Studi Avanzati","SISSA, Scuola Internazionale Superiore di Studi Avanzati","SISSA, Scuola Internazionale Superiore di Studi Avanzati",1,100.0,1,1,"SISSA, Scuola Internazionale Superiore di Studi Avanzati"
300,Seismo Verlag,Seismo Verlag,Seismo Verlag,1,100.0,1,1,Seismo Verlag
301,Consejo Superior de Investigaciones Científicas,Consejo Superior de Investigaciones Científicas,Consejo Superior de Investigaciones Científicas,1,100.0,1,1,Consejo Superior de Investigaciones Científicas
302,Universitat Jaume I,Universitat Jaume I,Universitat Jaume I,1,100.0,1,1,Universitat Jaume I
303,"Dalhousie University, Department of French","Dalhousie University, Department of French","Dalhousie University, Department of French",2,100.0,1,2,"Dalhousie University, Department of French"
304,Nineteenth-Century Gender Studies,Nineteenth-Century Gender Studies,Nineteenth-Century Gender Studies,1,100.0,1,1,Nineteenth-Century Gender Studies
305,North Carolina State University,North Carolina State University,North Carolina State University,1,100.0,1,1,North Carolina State University
306,Cardiff University,Cardiff University Press,Cardiff University,1,100.0,2,5,"Cardiff University, Cardiff University Press"
306,Cardiff University,Cardiff University Press,Cardiff University Press,5,100.0,2,5,"Cardiff University, Cardiff University Press"
307,University of Pennsylvania Press,The Pennsylvania State University Press,The Pennsylvania State University Press,2,100.0,2,2,"The Pennsylvania State University Press, University of Pennsylvania Press"
307,University of Pennsylvania Press,The Pennsylvania State University Press,University of Pennsylvania Press,1,100.0,2,2,"The Pennsylvania State University Press, University of Pennsylvania Press"
308,Harrassowitz Verlag,Harrassowitz Verlag,Harrassowitz Verlag,1,100.0,1,1,Harrassowitz Verlag
309,University of Hawaii,University of Hawaii,University of Hawaii,1,100.0,1,1,University of Hawaii
310,Speech Pathology Australia,Speech Pathology Australia,Speech Pathology Australia,1,100.0,1,1,Speech Pathology Australia
311,Project Muse,Project Muse,Project Muse,1,100.0,1,1,Project Muse
312,Eotvos Lorand University (ELTE),Eotvos Lorand University (ELTE),Eotvos Lorand University (ELTE),1,100.0,1,1,Eotvos Lorand University (ELTE)
313,Presses Universitaires de France,Presses Universitaires de France,Presses Universitaires de la Méditerranée,1,82.1917808219178,4,1,"Presses Universitaires de France, Presses Universitaires de la Méditerranée, Presses universitaires de Liège (PULg), Presses universitaires de Rennes"
313,Presses Universitaires de France,Presses Universitaires de France,Presses Universitaires de France,1,100.0,4,1,"Presses Universitaires de France, Presses Universitaires de la Méditerranée, Presses universitaires de Liège (PULg), Presses universitaires de Rennes"
313,Presses Universitaires de France,Presses Universitaires de France,Presses universitaires de Liège (PULg),1,79.41176470588236,4,1,"Presses Universitaires de France, Presses Universitaires de la Méditerranée, Presses universitaires de Liège (PULg), Presses universitaires de Rennes"
313,Presses Universitaires de France,Presses Universitaires de France,Presses universitaires de Rennes,1,78.125,4,1,"Presses Universitaires de France, Presses Universitaires de la Méditerranée, Presses universitaires de Liège (PULg), Presses universitaires de Rennes"
314,Sryahwa Publications,Sryahwa Publications,Sryahwa Publications,2,100.0,1,2,Sryahwa Publications
315,Quaternary Research Association,Quaternary Research Association,Quaternary Research Association,1,100.0,1,1,Quaternary Research Association
316,American Society of Papyrologists,American Society of Papyrologists,American Society of Papyrologists,1,100.0,1,1,American Society of Papyrologists
317,Macquarie Ancient History Association,Macquarie Ancient History Association,Macquarie Ancient History Association,1,100.0,1,1,Macquarie Ancient History Association
318,Oral History Society,Oral History Society,Oral History Society,4,100.0,2,4,"International Oral History Association, Oral History Society"
