cluster_id,cluster_size,canonical_name,member_ids,member_names
9108,2,"Coulton, Gary R","11945, 14417","coulton, gary r, coulton, gary r"
9109,8,"Coulton, Paul","624675, 633819, 633820, 633821, 633822, 633823, 633824, 636809","coulton, paul, coulton, paul, coulton, paul, coulton, paul, coulton, paul, coulton, paul, coulton, paul, coulton, paul"
9110,2,"Couñago, Felipe","635748, 636016","couñago, felipe, couñago, felipe"
9111,3,"Counsell, Jr","618767, 619961, 625386","counsell, jr, counsell, jr, counsell, jr"
9112,3,"Coupaud, Sylvie","626835, 629755, 631707","coupaud, sylvie, coupaud, sylvie, coupaud, sylvie"
9113,10,"Coupe, Laurence","3974, 3976, 3978, 4071, 12423, 78956, 84254, 86566, 93406, 93424","coupe, laurence, coupe, laurence, coupe, laurence, coupe, laurence, coupe, laurence, coupe, laurence, coupe, laurence, coupe, laurence, coupe, laurence, coupe, laurence"
9114,2,"Coupland, Kirsten G","633739, 634106","coupland, kirsten g, coupland, kirsten g"
9116,2,"Courbaud, Benoit","629637, 636094","courbaud, benoit, courbaud, benoit"
9117,3,"Courbaud, B","630085, 631958, 632644","courbaud, b, courbaud, b, courbaud, b"
9122,3,"Courneya, Marsha","629396, 633197, 633795","courneya, marsha, courneya, marsha, courneya, marsha"
9126,2,"Cousins, Sara A O","627350, 639564","cousins, sara ao, cousins, sara a o"
9138,5,"Coventry, Peter","629536, 629539, 635294, 642480, 642534","coventry, peter, coventry, peter a, coventry, peter, coventry, peter, coventry, peter a"
9139,3,"Coventry, Pa","630139, 641558, 641561","coventry, p, coventry, pa, coventry, pa"
9141,3,"Covernton, Patrick J O","624135, 634964, 634969","covernton, patrick jo, covernton, patrick j o, covernton, patrick j o"
9143,3,"Cowan, Mj","623280, 623281, 623283","cowan, mj, cowan, mj, cowan, mj"
9144,8,"Cowan, Kate","624236, 624898, 626325, 626556, 626621, 628831, 630429, 630440","cowan, kate, cowan, kate, cowan, kate, cowan, kate, cowan, kate, cowan, kate, cowan, kate, cowan, kate"
9149,2,"Cowap, L","575942, 618604","cowap, l, cowap, l"
9150,11,"Cowap, Lisa","621975, 622354, 623015, 623168, 626564, 626958, 627023, 627962, 628854, 629873, 634697","cowap, lisa, cowap, lisa, cowap, lisa, cowap, lisa, cowap, lisa, cowap, lisa, cowap, lisa, cowap, lisa, cowap, lisa, cowap, lisa, cowap, lisa"
9151,2,"Coward, T","605451, 605464","coward, t, coward, t"
9155,3,"Cowell, C","623280, 623281, 623283","cowell, c, cowell, c, cowell, c"
9158,4,"Cowie, Charlotte","641454, 641455, 642513, 643256","cowie, charlotte, cowie, charlotte, cowie, charlotte, cowie, charlotte m"
9160,3,"Cowley, Nicholas","632028, 641470, 641662","cowley, nicholas, cowley, nicholas, cowley, nicholas"
9165,21,"Cox, Nigel","885, 607755, 617568, 617569, 617617, 617648, 617651, 618124, 618165, 619936, 621583, 621824, 622851, 626004, 626155, 626711, 627092, 627323, 629479, 630178, 630690","cox, nigel, cox, nigel, cox, nigel, cox, nigel, cox, nigel, cox, nigel, cox, nigel, cox, nigel, cox, nigel, cox, nigel, cox, nigel, cox, nigel, cox, nigel, cox, nigel, cox, nigel, cox, nigel, cox, nigel, cox, nigel, cox, nigel, cox, nigel, cox, nigel"
9167,2,"Cox, Ce","619109, 623424","cox, c, cox, ce"
9168,2,"Cox, Trevor J","621781, 622909","cox, trevor, cox, trevor j"
9176,2,"Cox, Sophie C","630032, 635555","cox, sophie c, cox, sophie c"
9178,3,"Cox, Luke","635094, 635150, 636917","cox, luke, cox, luke, cox, luke"
9183,2,"Coxon, Andrew","634943, 634978","coxon, andrew, coxon, andrew"
9185,2,"Coyle, David","15225, 75255","coyle, david, coyle, david"
9187,3,"Coyle, D","619590, 620781, 620788","coyle, t, coyle, d, coyle, d"
9190,2,"Coyles, G","617892, 630325","coyles, g, coyles, g"
9194,5,"Cozier, Gyles E","631130, 632474, 638609, 639826, 640676","cozier, gyles e, cozier, gyles e, cozier, gyles e, cozier, gyles, cozier, gyles e"
9203,3,"Craft, Sam","635481, 638609, 640676","craft, sam, craft, sam, craft, sam"
9204,7,"Craggs, R","603486, 609882, 610728, 617094, 617210, 620725, 622978","craggs, r, craggs, r, craggs, r, craggs, r, craggs, r, craggs, r, craggs, ruth"
9206,13,"Craig, Chesney","618033, 619136, 620531, 620948, 622090, 623283, 625269, 626852, 626853, 628658, 630077, 636723, 636760","craig, ce, craig, chesney, craig, c, craig, ce, craig, chesney elizabeth, craig, cl, craig, chesney, craig, chesney, craig, ce, craig, chesney e, craig, chesney e, craig, chesney e, craig, chesney"
9208,6,"Craig, L","621402, 623270, 623274, 623285, 623290, 623293","craig, h, craig, l, craig, l, craig, l, craig, l, craig, k"
9209,12,"Craig, Elaine","624647, 624803, 625835, 626795, 628578, 630328, 630493, 632263, 639149, 639859, 642540, 643289","craig, elaine, craig, elaine, craig, elaine, craig, elaine, craig, elaine, craig, elaine, craig, elaine, craig, elaine, craig, elaine, craig, elaine, craig, elaine, craig, elaine"
9210,3,"Craig, Hayley","625465, 626808, 627211","craig, hayley, craig, hayley, craig, hayley"
9215,2,"Crainiceanu, A","623259, 623259","crainiceanu, a, crainiceanu, c"
9220,4,"Crampton, Jennifer S","637937, 639903, 640284, 643041","crampton, jennifer s, crampton, jennifer, crampton, jennifer s, crampton, jennifer s"
9224,4,"Crane, Benjamin","628305, 630116, 631211, 635392","crane, benjamin, crane, benjamin, crane, benjamin, crane, benjamin"
9225,15,"Cranmer, Eleanor","610834, 617802, 618129, 618215, 621745, 625626, 627047, 628400, 628639, 631430, 631644, 632337, 632922, 633051, 635310","cranmer, e, cranmer, e, cranmer, eleanor e, cranmer, s, cranmer, sue, cranmer, eleanor e, cranmer, eleanor, cranmer, ella, cranmer, eleanor, cranmer, eleanor, cranmer, ella, cranmer, s, cranmer, eleanor e, cranmer, ella, cranmer, eleanor"
9228,126,"Crapnell, Robert D","621908, 622858, 623751, 624167, 624672, 625456, 626166, 626406, 626859, 627445, 627446, 627468, 627840, 628043, 628206, 628207, 628304, 628834, 629049, 629050, 629054, 629055, 629056, 629058, 629068, 629121, 629212, 630147, 630435, 630634, 630835, 630836, 630837, 630839, 631106, 631283, 631284, 631285, 631286, 631294, 631295, 631313, 631325, 631339, 631349, 631374, 631383, 631423, 631526, 631700, 631776, 631851, 631854, 631855, 632208, 632209, 632211, 632212, 632639, 632640, 632705, 632706, 632707, 632710, 632716, 633088, 633734, 633779, 633781, 633782, 633808, 633922, 633923, 634243, 634557, 634558, 634559, 634877, 635330, 635462, 635502, 635504, 635535, 635699, 635950, 636070, 636256, 637489, 637494, 637495, 637535, 637859, 637860, 638026, 638230, 638231, 638232, 638233, 638341, 638382, 639387, 639492, 639614, 639835, 639918, 639921, 640239, 640240, 640241, 640258, 640259, 640706, 640707, 640708, 640709, 640936, 641357, 641439, 641829, 641966, 641967, 641968, 642105, 642158, 642934, 643410","crapnell, robert d, crapnell, rd, crapnell, robert d, crapnell, r, crapnell, robert d, crapnell, robert d, crapnell, r, crapnell, robert d, crapnell, robert d, crapnell, rd, crapnell, rd, crapnell, robert d, crapnell, rd, crapnell, rd, crapnell, robert d, crapnell, rd, crapnell, robert d, crapnell, robert d, crapnell, rd, crapnell, rd, crapnell, robert d, crapnell, rd, crapnell, rd, crapnell, robert d, crapnell, robert d, crapnell, rd, crapnell, rd, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, rd, crapnell, rd, crapnell, robert d, crapnell, rd, crapnell, robert d, crapnell, rd, crapnell, robert d, crapnell, robert d, crapnell, rd, crapnell, rd, crapnell, rd, crapnell, rd, crapnell, robert d, crapnell, rd, crapnell, rd, crapnell, rd, crapnell, robert, crapnell, robert d, crapnell, robert d, crapnell, rd, crapnell, robert, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, rd, crapnell, rd, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, rd, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, rd, crapnell, rd, crapnell, robert d, crapnell, rd, crapnell, rd, crapnell, rd, crapnell, rd, crapnell, robert d, crapnell, robert d, crapnell, rd, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, rd, crapnell, rd, crapnell, robert d, crapnell, robert d, crapnell, rd, crapnell, rd, crapnell, rd, crapnell, robert d, crapnell, rd, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d, crapnell, robert d"
9232,30,"Craven, Jenny","4801, 5879, 5943, 5949, 5954, 6004, 6068, 6097, 7599, 7600, 7601, 7660, 7662, 7741, 8259, 8539, 10742, 11311, 13299, 30561, 86941, 90557, 90564, 90573, 90575, 90578, 90579, 92368, 92404, 128070","craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny, craven, jenny"
9233,4,"Craven, Michael","624359, 624377, 628056, 624522","craven, michael, craven, michael, craven, michael, craven, michael"
9240,2,"Crawford, Susanna Ruth","238264, 582261","crawford, susanna, crawford, susanna ruth"
9241,3,"Crawford, A","608834, 621135, 621136","crawford, be, crawford, a, crawford, a"
9242,11,"Crawford, Mike J","612000, 618379, 623438, 627899, 631849, 632440, 633425, 634604, 634982, 634996, 636758","crawford, f, crawford, tj, crawford, f, crawford, fay, crawford, mike j, crawford, mike j, crawford, mj, crawford, garry, crawford, mike, crawford, m, crawford, garry"
9247,2,"Crawley, Lorraine","622092, 626194","crawley, lorraine, crawley, lorraine"
9249,14,"Creaby, Fiona","627691, 617681, 620820, 620821, 620822, 620823, 625737, 627324, 631919, 633068, 633069, 633070, 633071, 633072","crea, f, creaby, fiona, creaby, f, creaby, f, creaby, f, creaby, fiona, creaby, fiona, creaby, fiona, creaby, fiona, creaby, fiona, creaby, fiona, creaby, fiona, creaby, fiona, creaby, fiona"
9251,3,"Creaney, Sean","635445, 637261, 641621","creaney, sean, creaney, s, creaney, sean"
9258,3,"Creighton, Jade V","630048, 631835, 637958","creighton, jade v, creighton, jade v, creighton, jade v"
9262,2,"Cremin, Teresa","624155, 624230","cremin, teresa, cremin, teresa"
9266,23,"Crescente, Marilena","622579, 622580, 622750, 624886, 626349, 628008, 628009, 628010, 628013, 628016, 628017, 628020, 628097, 629139, 629841, 630273, 630941, 631953, 632330, 632489, 633534, 634303, 642508","crescente, marilena, crescente, marilena, crescente, marilena, crescente, m, crescente, marilena, crescente, marilena, crescente, marilena, crescente, marilena, crescente, m, crescente, marilena, crescente, marilena, crescente, marilena, crescente, marilena, crescente, marilena, crescente, marilena, crescente, marilena, crescente, marilena, crescente, m, crescente, marilena, crescente, marilena, crescente, marilena, crescente, marilena, crescente, marilena"
9271,3,"Crespo Otero, Rachel","631130, 634775, 636950","crespo otero, rachel, crespo otero, rachel, crespo otero, rachel"
9272,10,"Cresswell, Neil","4444, 4445, 4830, 4835, 5378, 9875, 13183, 13206, 30061, 627350","cresswell, neil, cresswell, neil, cresswell, neil, cresswell, neil, cresswell, neil, cresswell, neil, cresswell, neil, cresswell, neil, cresswell, neil, cresswell, will"
9273,6,"Cresswell, M","592858, 617271, 618849, 635333, 636947, 641452","cresswell, m, cresswell, m, cresswell, m, cresswell, mark, cresswell, ja, cresswell, tom"
9276,3,"Crews, Ryan T","611791, 619282, 627156","crews, rt, crews, ryan t, crews, r t"
9282,5,"Crim, Philip M","633510, 633511, 636750, 639927, 640126","crim, philip m, crim, philip m, crim, philip m, crim, philip, crim, philip"
9290,16,"Crispin, Alan","94893, 94895, 609602, 618085, 618086, 618087, 618088, 618430, 618710, 618823, 619524, 620393, 620502, 622782, 622783, 622787","crispin, alan, crispin, alan, crispin, aj, crispin, a, crispin, aj, crispin, aj, crispin, aj, crispin, alan, crispin, a, crispin, a, crispin, aj, crispin, alan, crispin, aj, crispin, alan, crispin, alan, crispin, a"
9299,2,"Cristopoliski, Fabiano","87614, 90695","cristopoliski, fabiano, cristopoliski, fabiano"
9307,102,"Crockett, Keeley","253, 94408, 94423, 94900, 94901, 94914, 94917, 94919, 596616, 596622, 596689, 596906, 596920, 596978, 605759, 607131, 607138, 609597, 609598, 609599, 609601, 609602, 609617, 611524, 611707, 611709, 611714, 615505, 617098, 617163, 617168, 617177, 617682, 617786, 617801, 617901, 618094, 618095, 618430, 618431, 618515, 618710, 618887, 618961, 619143, 619244, 619559, 619922, 619966, 620264, 620393, 620394, 620503, 620505, 621082, 621804, 621809, 622503, 622767, 622779, 622780, 622781, 622782, 622783, 622787, 623574, 624271, 624292, 624526, 624527, 625463, 625464, 625502, 625505, 625507, 625531, 626368, 627061, 627062, 627128, 627778, 627851, 628624, 629693, 630213, 630932, 631781, 631901, 632990, 633363, 633506, 634187, 634242, 635454, 635488, 637617, 637664, 637951, 639408, 639485, 642018, 642890","crockett, k, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, k, crockett, k, crockett, keeley, crockett, k, crockett, k, crockett, k, crockett, k, crockett, k, crockett, ka, crockett, k, crockett, k, crockett, k, crockett, k, crockett, k, crockett, ka, crockett, k, crockett, k, crockett, k, crockett, k, crockett, k, crockett, k, crockett, k, crockett, k, crockett, keeley, crockett, k, crockett, k, crockett, keeley, crockett, ka, crockett, k, crockett, k, crockett, keeley, crockett, k, crockett, k, crockett, k, crockett, keeley, crockett, k, crockett, keeley, crockett, k, crockett, k, crockett, k, crockett, keeley, crockett, ka, crockett, ka, crockett, k, crockett, ka, crockett, ka, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, k, crockett, keeley, crockett, k, crockett, keeley, crockett, keeley, crockett, keeley, crockett, k, crockett, k, crockett, k, crockett, keeley, crockett, ka, crockett, k, crockett, k, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, k, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley, crockett, keeley"
9311,2,"Croft, Tony","109481, 144469","croft, tony, croft, tony"
9312,2,"Croft, T","582295, 607434","croft, t, croft, t"
9315,2,"Croisé, Luc","618699, 629191","croisé, l, croisé, luc"
9316,3,"Crolla, D A","110908, 110927, 111217","crolla, d a, crolla, d a, crolla, d a"
9317,6,"Crolley, Elizabeth","3625, 3642, 3645, 3646, 4153, 5369","crolley, elizabeth, crolley, elizabeth, crolley, elizabeth, crolley, elizabeth, crolley, elizabeth, crolley, elizabeth"
9318,12,"Crome, Keith J","77119, 77138, 87364, 132967, 132968, 132989, 133009, 188792, 188793, 619437, 623536, 630662","crome, keith j, crome, keith j, crome, keith j, crome, keith j, crome, keith, crome, keith j, crome, keith j, crome, keith j, crome, keith j, crome, keith, crome, keith, crome, keith"
9319,22,"Crome, Andrew","618460, 619582, 619583, 619584, 619585, 619586, 619587, 619588, 619589, 620473, 622494, 623009, 624717, 628185, 628186, 628442, 635993, 636971, 640627, 640628, 640629, 643320","crome, andrew, crome, a, crome, a, crome, a, crome, a, crome, a, crome, ap, crome, ap, crome, ap, crome, ap, crome, andrew, crome, andrew, crome, andrew, crome, andrew, crome, andrew, crome, andrew, crome, andrew, crome, andrew, crome, andrew, crome, andrew, crome, andrew, crome, andrew"
9320,11,"Crompton, Helen","1636, 1638, 1639, 3713, 4826, 36252, 83891, 90382, 91035, 91835, 91893","crompton, helen, crompton, helen, crompton, helen, crompton, helen, crompton, helen, crompton, helen, crompton, helen, crompton, helen, crompton, helen, crompton, helen, crompton, helen"
9321,5,"Crompton, Emily","622217, 625724, 633235, 636703, 636704","crompton, emily, crompton, emily, crompton, emily, crompton, emily, crompton, emily"
9324,29,"Cromwell, Jennifer","621147, 621149, 621163, 621775, 623058, 623753, 624005, 625831, 626818, 627000, 628803, 628804, 628805, 629030, 630555, 632260, 632292, 632293, 633603, 633660, 636846, 636879, 636906, 636941, 636943, 638027, 641160, 642106, 643013","cromwell, jennifer, cromwell, jennifer, cromwell, ja, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer, cromwell, jennifer"
9326,7,"Crone, Diane","622354, 626564, 626958, 627962, 628854, 629873, 634697","crone, diane, crone, diane, crone, diane, crone, diane, crone, diane, crone, diane, crone, diane"
9327,3,"Cronin, Cj","632021, 632022, 632024","cronin, cj, cronin, cj, cronin, c"
9328,5,"Cronin, Bruce","634052, 634308, 639120, 640534, 641258","cronin, bruce, cronin, bruce, cronin, bruce, cronin, bruce, cronin, bryce"
9338,2,"Cropper, Emma","627366, 639308","cropper, emma, cropper, emma"
9341,2,"Crosby, Helen F","627083, 627692","crosby, helen f, crosby, helen"
9344,5,"Cross, Graham","620846, 623453, 624195, 625545, 628117","cross, ge, cross, graham, cross, graham, cross, graham, cross, graham"
9345,2,"Cross, V","622780, 634350","cross, v, cross, s"
9346,20,"Crossley, Km","623061, 628902, 621467, 47, 609582, 617820, 617826, 619982, 620700, 620731, 621353, 622803, 628167, 628871, 629787, 632394, 633860, 642303, 642307, 642309","cross, matthew, cross, matt, crossle, m, crossley, matthew james, crossley, m, crossley, km, crossley, km, crossley, m, crossley, km, crossley, m, crossley, km, crossley, matthew, crossley, m, crossley, km, crossley, k, crossley, km, crossley, m, crossley, matthew, crossley, matthew, crossley, matthew"
9348,2,"Cross, Valerie","625507, 627778","cross, valerie, cross, valerie"
9354,11,"Croston, Michelle","617062, 620581, 627709, 627710, 627711, 627712, 627713, 627714, 633893, 633894, 642467","croston, m, croston, michelle, croston, m, croston, m, croston, michelle, croston, michelle, croston, michelle, croston, michelle, croston, michelle, croston, michelle, croston, michelle"
9361,4,"Croucher, Karina","627695, 627696, 627697, 633133","croucher, karina, croucher, karina, croucher, karina, croucher, karina"
9363,2,"Crow, David","111554, 111555","crow, david, crow, david"
9364,10,"Crowder, Mark","617172, 621455, 622759, 622760, 625151, 625152, 627179, 627519, 627660, 631160","crowder, mark, crowder, mark, crowder, mark, crowder, mark, crowder, mark, crowder, mark, crowder, mark, crowder, mark, crowder, mark, crowder, mark"
9368,8,"Crowley, Jason","619424, 619425, 619426, 619427, 623397, 623398, 630677, 635201","crowley, jp, crowley, jason, crowley, jp, crowley, jp, crowley, jason, crowley, jason, crowley, jason, crowley, jason"
9369,2,"Crown, Anna L","97896, 98320","crown, anna l, crown, anna l"
9371,6,"Crowne, Elizabeth","84594, 84634, 84635, 97861, 97867, 97876","crowne, elizabeth, crowne, elizabeth, crowne, elizabeth, crowne, elizabeth, crowne, elizabeth, crowne, elizabeth"
9372,7,"Crowther, Tw","575263, 619795, 622556, 627844, 635008, 635998, 618032","crowther, l, crowther, tw, crowther, g, crowther, gs, crowther, t, crowther, tw, crowther, p"
9373,5,"Crowther, Thomas W","630248, 633510, 636750, 639927, 640126","crowther, thomas w, crowther, thomas w, crowther, thomas w, crowther, thomas w, crowther, thomas w"
9374,2,"Crowther, Jamie","630564, 631363","crowther, jamie, crowther, jamie"
9376,18,"Crozier, Sarah","607457, 617386, 618015, 621178, 621284, 622538, 622650, 623842, 624144, 624676, 628216, 633679, 637172, 640536, 642006, 642183, 642986, 643038","crozier, se, crozier, p, crozier, p, crozier, s, crozier, s, crozier, sarah, crozier, s, crozier, s, crozier, sarah, crozier, sarah, crozier, sarah, crozier, sarah, crozier, sarah, crozier, sarah e, crozier, sarah, crozier, sarah, crozier, sarah, crozier, sarah"
9379,2,"Cruchaga, C","634363, 634366","cruchaga, c, cruchaga, c"
9380,2,"Crudge, Sarah E","23168, 23213","crudge, sarah e, crudge, sarah e"
9382,3,"Cruickshank, Sm","110622, 619488, 625534","cruickshank, s e, cruickshank, sm, cruickshank, sm"
9383,3,"Crujeiras, Ab","623280, 623281, 623283","crujeiras, ab, crujeiras, ab, crujeiras, ab"
9385,2,"Cruse, Damian","628040, 635384","cruse, damian, cruse, damian"
9386,4,"Crust, L","602230, 606077, 606094, 606096","crust, l, crust, l, crust, l, crust, l"
9396,2,"Cruz Suárez, Jc","619443, 619447","cruz suárez, jc, cruz suárez, jc"
9397,2,"Cruz Vásquez, Julio E","630361, 630755","cruz vásquez, julio e, cruz vásquez, julio e"
9398,12,"Csepely Knorr, Luca","344363, 620318, 622239, 623486, 624086, 625841, 627001, 627321, 629742, 629744, 629745, 629752","csepely knorr, luca, csepely knorr, l, csepely knorr, l, csepely knorr, luca, csepely knorr, luca, csepely knorr, luca, csepely knorr, luca, csepely knorr, l, csepely knorr, luca, csepely knorr, luca, csepely knorr, luca, csepely knorr, luca"
9400,4,"Csoba, Judit","620189, 621773, 628090, 637221","csoba, judit, csoba, judit, csoba, judit, csoba, judit"
9413,2,"Cuenca, Llanos","625947, 626248","cuenca, llanos, cuenca, llanos"
9414,3,"Cuesta, Francisco","628961, 628962, 628964","cuesta, francisco, cuesta, francisco, cuesta, francisco"
9418,4,"Cuff, Andrew","625473, 626156, 629596, 634014","cuff, andrew, cuff, andrew, cuff, andrew, cuff, andrew v"
9423,13,"Cui, Xia","631629, 631630, 631631, 631632, 631633, 631634, 631635, 631847, 634506, 635286, 642484, 642614, 642617","cui, xia, cui, xia, cui, xia, cui, xia, cui, xia, cui, xia, cui, xia, cui, xia, cui, xia, cui, xia, cui, xia, cui, xia, cui, xia"
9424,3,"Cui, Zhongfeng","632932, 634118, 634119","cui, zhongfeng, cui, zhongfeng, cui, zhongfeng"
9426,3,"Cui, Xiaolei","634629, 634912, 643296","cui, xiaolei, cui, xiaolei, cui, xiaolei"
9427,2,"Cui, Yuchen","634912, 643296","cui, yuchen, cui, yuchen"
9431,6,"Cuijpers, P","627487, 630235, 630237, 630238, 630936, 635120","cuijpers, p, cuijpers, p, cuijpers, p, cuijpers, p, cuijpers, p, cuijpers, p"
9435,2,"Cukurova, Mutlu","642797, 643472","cukurova, mutlu, cukurova, mutlu"
9438,6,"Cullell, N","620888, 620889, 633862, 634366, 634370, 635012","cullell, n, cullell, n, cullell, n, cullell, n, cullell, n, cullell, n"
9439,8,"Cullell, Natalia","631035, 633187, 634367, 634368, 634628, 637430, 638242, 641163","cullell, natalia, cullell, natalia, cullell, natalia, cullell, natalia, cullell, natalia, cullell, natalia, cullell, natalia, cullell, natalia"
9441,2,"Cullen, Rod","96489, 633242","cullen, rod, cullen, rod"
9442,3,"Cullen, P J","109461, 110621, 624810","cullen, p j, cullen, p j, cullen, kj"
9445,3,"Cullen, A","626639, 629436, 640261","cullen, a, cullen, a, cullen, b"
9450,2,"Culley, L","619357, 620531","culley, l, culley, d"
9453,4,"Culmer, P","630820, 636673, 638613, 639281","culmer, p, culmer, p, culmer, pete, culmer, peter"
9454,2,"Culmsee, H","622614, 634857","culmsee, h, culmsee, h"
9457,2,"Culpeper, J","619647, 620113","culpeper, j, culpeper, j"
9459,9,"Culpin, Iryna","631536, 631537, 633013, 633018, 633688, 633689, 633959, 634049, 635105","culpin, iryna, culpin, iryna, culpin, iryna, culpin, i, culpin, iryna, culpin, i, culpin, iryna, culpin, i, culpin, iryna"
9461,2,"Culshaw, Aisling","635331, 637677","culshaw, aisling, culshaw, aisling"
9463,2,"Culvin, Alex","628399, 628556","culvin, alex, culvin, a"
9465,5,"Cumba, Lr","595989, 596060, 605877, 606027, 606042","cumba, lr, cumba, lr, cumba, lr, cumba, lr, cumba, lr"
9468,3,"Cumbers, Holly","617617, 621583, 629479","cumbers, holly, cumbers, holly, cumbers, holly"
9470,20,"Cummins, I","620544, 620696, 630038, 635998, 638685, 617369, 618518, 624093, 624095, 627997, 628107, 633885, 604995, 605007, 605010, 609845, 620493, 620704, 625769, 625796","cumming, sjd, cumming, j, cumming, t, cumming, jr, cumming, sp, cummings, j, cummings, sp, cummings, g, cummings, g, cummings, sp, cummings, carole, cummings, cr, cummins, i, cummins, i, cummins, i, cummins, i, cummins, i, cummins, i, cummins, c, cummins, c"
9471,2,"Cumming, Douglas","622892, 624637","cumming, douglas, cumming, douglas"
9473,2,"Cumming, Sean P","626080, 626094","cumming, sean p, cumming, sean"
9474,5,"Cumming, Jonathan R","633510, 633511, 636750, 639927, 640126","cumming, jonathan r, cumming, jonathan r, cumming, jonathan r, cumming, jonathan, cumming, jonathan"
9490,14,"Cuni Sanchez, Aida","625278, 622613, 624016, 624023, 624171, 627706, 628219, 630248, 630250, 632613, 635132, 637541, 638383, 638386","cuni sanchez, aida, cuni sanchez, a, cuni sanchez, aida, cuni sanchez, a, cuni sanchez, aida, cuni sanchez, aida, cuni sanchez, aida, cuni sanchez, aida, cuni sanchez, aida, cuni sanchez, aida, cuni sanchez, aida, cuni sanchez, a, cuni sanchez, aida, cuni sanchez, aida"
9491,9,"Cunliffe, Alexander J","628407, 629876, 630183, 633979, 634098, 635330, 635590, 639493, 641570","cunliffe, alexander j, cunliffe, alexander j, cunliffe, alexander j, cunliffe, alexander james, cunliffe, aj, cunliffe, aj, cunliffe, alexander j, cunliffe, alexander j, cunliffe, alexander j"
9496,41,"Cunningham, Stuart","582279, 617375, 617805, 618203, 620726, 620891, 620892, 622871, 623456, 623797, 624142, 624595, 624643, 624842, 624891, 625354, 625355, 625368, 625369, 625597, 626059, 626192, 626549, 626725, 627187, 627424, 628098, 628461, 628665, 629272, 631411, 632507, 632520, 632528, 635285, 635295, 636683, 638706, 642303, 642307, 642309","cunningham, ryan, cunningham, r, cunningham, r, cunningham, r, cunningham, isaac, cunningham, r, cunningham, r, cunningham, stuart, cunningham, stuart, cunningham, stuart, cunningham, ryan, cunningham, r, cunningham, ryan, cunningham, ryan james, cunningham, ryan, cunningham, stuart, cunningham, stuart, cunningham, stuart, cunningham, stuart, cunningham, stuart, cunningham, stuart, cunningham, stuart, cunningham, s, cunningham, r, cunningham, stuart, cunningham, s, cunningham, stuart, cunningham, stuart, cunningham, s, cunningham, s, cunningham, r, cunningham, marie, cunningham, ryan, cunningham, ryan, cunningham, stuart, cunningham, m, cunningham, t, cunningham, j, cunningham, stuart, cunningham, stuart, cunningham, stuart"
9497,4,"Cunningham, Aa","608347, 611996, 617722, 635498","cunningham, aa, cunningham, aa, cunningham, a, cunningham, aa"
9498,6,"Cunningham, Eileen","623557, 627863, 629889, 633552, 635197, 636299","cunningham, eileen, cunningham, eileen, cunningham, eileen, cunningham, eileen, cunningham, eileen, cunningham, eileen"
