cluster_id,cluster_size,canonical_name,member_ids,member_names
11,97,"Lees, Alexander C","632315, 617291, 617292, 617293, 617294, 617574, 618369, 618736, 619348, 619657, 620313, 621348, 621350, 621792, 621793, 621995, 622817, 623572, 624060, 624061, 624200, 624818, 624950, 625129, 625130, 625262, 625816, 626359, 626360, 626362, 626499, 626622, 626780, 627261, 627604, 627870, 627929, 628122, 628163, 628242, 628250, 628288, 628373, 628809, 628839, 628890, 628891, 628942, 628960, 628961, 628962, 628964, 628965, 628986, 629253, 629257, 629273, 629523, 629656, 629657, 629923, 629979, 630319, 630666, 630815, 631415, 631466, 631859, 632066, 632236, 632538, 633055, 633369, 633433, 633608, 633672, 633716, 634078, 634827, 634828, 635078, 635408, 636181, 636962, 637233, 637551, 638290, 638302, 638795, 639201, 639307, 639589, 639837, 639884, 640310, 640363, 642311",", lees, ac, lees, ac, lees, ac, lees, ac, lees, ac, lees, alexander, lees, ac, lees, ac, lees, ac, lees, ac, lees, alexander, lees, alexander, lees, ac, lees, ac, lees, ac, lees, alexander c, lees, alexander c, lees, alexander c, lees, alexander c, lees, alexander c, lees, ac, lees, alexander c, lees, alexander c, lees, ac, lees, alexander c, lees, alexander c, lees, alexander c, lees, alexander c, lees, alexander charles, lees, alexander c, lees, alexander, lees, alexander c, lees, alexander c, lees, alexander c, lees, alexander c, lees, alexander c, lees, alexander c, lees, ac, lees, alexander c, lees, alexander c, lees, c, lees, alexander c, lees, alexander charles, lees, alexander, lees, alexander c, lees, alexander c, lees, alexander, lees, alexander c, lees, alexander charles, lees, alexander charles, lees, alexander c, lees, alexander, lees, alexander, lees, alexander, lees, alexander c, lees, alexander, lees, ac, lees, alexander c, lees, alexander, lees, alexander c, lees, alexander c, lees, alexander c, lees, alexander c, lees, alexander c, lees, alexander c, lees, alexander, lees, alexander, lees, alexander c, lees, alexander charles, lees, alexander c, lees, alexander c, lees, alexander c, lees, alexander, lees, alexander c, lees, alexander, lees, alexander c, lees, alexander c, lees, alexander c, lees, alexander c, lees, alexander c, lees, alexander c, lees, alexander c, lees, alexander, lees, alexander c, lees, ac, lees, alexander c, lees, alexander, lees, alexander c, lees, alexander c, lees, alexander c, lees, alexander charles, lees, alexander c, lees, alexander charles, lees, alexander c, lees, alexander charles, lees, alexander charles"
12,6,"Abdelrahman, Mahmoud","632470, 631051, 633995, 633996, 633997, 639657",", abdelrahman, mahmoud, abdelrahman, mahmoud, abdelrahman, mahmoud, abdelrahman, mahmoud, abdelrahman, mahmoud"
13,2,"Moheimani, Fatemeh","634761, 634760",", moheimani, fatemeh"
14,19,"Woyo, Erisher","638319, 628908, 628966, 628967, 628993, 630430, 631834, 631906, 632543, 632545, 632658, 632659, 632819, 635164, 637158, 637464, 637889, 638060, 641123",", woyo, erisher, woyo, erisher, woyo, erisher, woyo, erisher, woyo, erisher, woyo, erisher, woyo, erisher, woyo, erisher, woyo, erisher, woyo, erisher, woyo, erisher, woyo, erisher, woyo, erisher, woyo, erisher, woyo, erisher, woyo, erisher, woyo, erisher, woyo, erisher"
17,67,"Roberts, Ken","640453, 155, 12168, 80129, 92363, 92379, 92380, 92382, 92383, 96180, 96180, 98031, 98032, 110494, 138830, 140862, 582986, 604447, 608807, 610822, 617185, 617281, 617789, 618031, 619795, 620091, 620318, 621339, 621431, 622032, 623662, 624652, 625170, 625868, 625869, 626587, 626753, 627321, 627530, 627835, 628012, 628478, 629447, 630274, 630325, 631088, 631089, 632906, 633967, 638626, 639830, 85058, 618967, 619109, 619397, 620531, 621261, 623842, 624744, 626336, 629448, 629787, 630202, 632454, 633121, 640498, 641632","robert d, roberts, c, roberts, j c, roberts, c, roberts, ken, roberts, ken, roberts, ken, roberts, ken, roberts, ken, roberts, noel, roberts, mike, roberts, ken, roberts, ken, roberts, ken, roberts, ken, roberts, ken, roberts, l, roberts, c, roberts, g, roberts, be, roberts, amber, roberts, l, roberts, c, roberts, g, roberts, is, roberts, g, roberts, a, roberts, d, roberts, ad, roberts, e, roberts, jw, roberts, emma, roberts, ak, roberts, g, roberts, g, roberts, james w, roberts, peter, roberts, a, roberts, peter c e, roberts, m, roberts, a, roberts, d, roberts, gemma, roberts, nia, roberts, jw, roberts, a, roberts, a, roberts, gemma, roberts, jo, roberts, j, roberts, glen, robertson, d j, robertson, e, robertson, ac, robertson, mn, robertson, d, robertson, ems, robertson, k, robertson, james, robertson, james, robertson, o, robertson, c, robertson, cole, robertson, peter, robertson, ben, robertson, m, robertson, peter"
18,2,"Craig, Oe","640453, 600458","craig e, craig, oe"
19,41,"Ollier, William","641212, 89140, 98363, 98376, 625244, 625246, 625247, 625248, 625249, 629532, 629533, 629534, 629859, 631318, 631810, 632503, 633990, 634316, 634318, 634939, 634952, 634953, 634954, 634955, 634956, 634958, 634959, 634960, 634963, 636310, 636386, 636794, 637442, 637714, 637785, 639747, 640872, 641213, 641215, 641216, 641217",", ollier, william e, ollier, william e, ollier, william e, ollier, william er, ollier, william, ollier, william, ollier, william er, ollier, william er, ollier, w, ollier, w, ollier, w, ollier, william, ollier, w, ollier, wendy, ollier, w, ollier, william, ollier, william, ollier, william, ollier, william, ollier, wiliam, ollier, william, ollier, we, ollier, w, ollier, bill, ollier, william, ollier, w, ollier, william, ollier, william e r, ollier, w, ollier, w, ollier, w, ollier, we, ollier, william e, ollier, william, ollier, william, ollier, w, ollier, william, ollier, william, ollier, william er, ollier, william"
20,2,"A Iahad, Noorminshah","638480, 638319","a iahad, noorminshah, a iahad, noorminshah"
30,2,"Aagaard, Per","83003, 620571","aagaard, per, aagaard, p"
37,2,"Aamodt, Anne H","631035, 631035","aamodt, anne h, aamodt, anne h"
38,2,"Aarons, Toby","621115, 623014","aarons, toby, aarons, toby"
45,3,"Aballéa, Samuel","633596, 633597, 634971","aballéa, samuel, aballéa, samuel, aballéa, samuel"
46,2,"Abanazir, Cem","634185, 635896","abanazir, cem, abanazir, cem"
50,4,"Abarenkov, Kessy","96488, 96511, 606982, 633509","abarenkov, kessy, abarenkov, kessy, abarenkov, k, abarenkov, kessy"
52,2,"Abashidze, Dato","623469, 623492","abashidze, dato, abashidze, dato"
53,3,"Abasiyanik, Zuhal","632896, 633788, 635126","abasiyanik, zuhal, abasıyanık, z, abasıyanık, zuhal"
55,2,"Abass, Abeer Abdulridha","629078, 629079","abass, abeer abdulridha, abass, abeer abdulridha"
64,12,"Abbas, Asad","637, 621244, 622915, 622920, 622921, 622922, 622941, 625003, 626898, 628944, 630870, 630985","abbas, as, abbas, as, abbas, asad, abbas, asad, abbas, asad, abbas, asad, abbas, asad, abbas, assad, abbas, assad, abbas, assad, abbas, asad, abbas, asad"
65,4,"Abbas, A","618164, 624075, 627620, 627622","abbas, a, abbas, a, abbas, a, abbas, a"
68,6,"Abbasi, Qh","623506, 624078, 630982, 634495, 624422, 624434","abbas, h, abbas, l, abbas, l, abbas, h, abbasi, qh, abbasi, qh"
72,2,"Abbas, Shanza","630870, 630985","abbas, shanza, abbas, shanza"
76,2,"Abbas, Sophia","636740, 636741","abbas, sophia, abbas, sophia"
83,3,"Abbasi, Rashid","623479, 631072, 638023","abbasi, rashid, abbasi, rashid, abbasi, rashid"
84,4,"Abbasi, R","623508, 623581, 626670, 642681","abbasi, ra, abbasi, r, abbasi, r, abbasi, ao"
